step,avg_return,value_loss,epsilon
50000,-76.5268,0.3326275646686554,0.8200036000003751
100000,-45.2686,1.0832314491271973,0.6400036000007502
150000,-12.4003,4.629899978637695,0.4600036000011253
200000,-39.2968,4.561713695526123,0.2800036000015004
250000,238.6364,10.147900581359863,0.1000036000017791
300000,249.7428,19.254199981689453,0.1
350000,504.2879,7.628377914428711,0.1
400000,471.1028,6.086330413818359,0.1
450000,508.8616,6.480759620666504,0.1
500000,628.7893,11.364967346191406,0.1
