Wall time,Step,Value
1699759424.8071969,50000,-50.66014862060547
1699760241.3630269,100000,249.65501403808594
1699761334.703109,150000,545.9531860351562
1699762442.881854,200000,250.607177734375
1699763562.027671,250000,339.99664306640625
1699764678.481236,300000,542.9823608398438
1699766883.371806,350000,848.9639892578125
1699768437.898572,400000,305.64349365234375
1699769567.286741,450000,478.030029296875
1699770696.758243,500000,528.9414672851562
